Hardness,Modulus,Cu,Al,Fe,Zr,V,Co,Ni,Nb,Ti,Cr,Mo,Mn,W,Ta,Hf
26.7082,306.77,0,0,0,0,0,0,0,29.1,0,0,0,0,39.9,31,0
25.4051,293.996,0,0,0,0,0,0,0,26.2,0,0,0,0,37.9,35.9,0
20.6579,239.012,0,0,0,0,0,0,0,27.0895,0,0,0,0,29.0959,28.072,16.0886
22.0462,238.82,0,0,0,0,0,0,0,25.0415,0,0,0,0,24.0867,25.0969,26.9788
20.5365,222.328,0,0,0,0,0,0,0,19.9631,0,0,0,0,22.1356,21.0978,37.0387
19.2016,213.663,0,0,0,0,0,0,0,18.0535,0,0,0,0,19.0498,19.1605,44.0129
12.1015,181.014,0,28.2292,0,0,0,0,0,18.3929,12.1429,12.6637,0,0,10.9077,17.4702,0
12.1972,180.032,0,29.0327,0,0,0,0,0,17.4256,9.10714,16.5774,0,0,10.3125,17.4256,0
12.2217,178.962,0,29.0923,0,0,0,0,0,17.7083,9.19643,16.5923,0,0,10.4464,16.8452,0
12.455,181.233,0,26.5179,0,0,0,0,0,15.997,10.2381,17.9167,0,0,14.375,14.9256,0
12.2423,180.721,0,26.1012,0,0,0,0,0,14.1369,10.0744,19.2857,0,0,15.7143,14.375,0
14.7,321,0,0,0,0,0,0,0,12,3,3,0,0,41,41,0
13.3,185,0,0,0,0,0,0,0,19,21,26,0,0,18,16,0
8.72,159.882,0,0,0,0,0,29.59,33.98,0,0,36.42,0,0,0,0,0
